"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Longitude of GEO (degrees),Perigee,Apogee,Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Date of Launch,Year of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle
"TanSat (Tan Weixing, Carbon Satellite)",NR (1/17),China,China Meteorological Administration,Government,Earth Observation,LEO,0,690,718,1.98E-03,98.1,98.86,620,12/21/2016,2016,3,Shanghai Engineering Center for Microsatellites,China,Jiuquan Satellite Launch Center,Long March 2D
Tanyusha YuZGU-1 (Radioskaf RS-6),NR (10/17),USA/Russia,Tomsk Polytechnic University/Southwestern State University,Civil,Communications,LEO,0,397,407,7.38E-04,51.6,92.60,5,8/17/2017,2017,,Southwestern State University,USA,International Space Station,Manual Deployment
Tanyusha YuZGU-2 (Radioskaf RS-7),NR (10/17),USA/Russia,Tomsk Polytechnic University/Southwestern State University,Civil,Communications,LEO,0,398,409,8.12E-04,51.6,92.60,5,8/17/2017,2017,,Southwestern State University,USA,International Space Station,Manual Deployment
"TDRS-10 (Tracking and Data Relay Satellite, TDRS-J)",USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,-40.75,35768,35802,4.03E-04,1.64,1436.04,3180,12/4/2002,2002,11,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2A
"TDRS-11 (Tracking and Data Relay Satellite, TDRS K)",USA,USA,National Aeronautics and Space Administration (NASA)/Goddard Space Flight Center,Government,Communications,GEO,-171,35732,35844,1.33E-03,7,1436.18,3454,1/31/2013,2013,15,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5
"TDRS-12 (Tracking and Data Relay Satellite, TDRS L)",USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,-40.95,35780,35785,5.93E-05,6.99,1435.88,3454,1/23/2014,2014,15,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5
"TDRS-13 (Tracking and Data Relay Satellite, TDRS M)",NR (10/17),USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,-149.75,35755,35813,6.88E-04,0,1436,3452,8/18/2017,2017,15,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5
"TDRS-3 (Tracking and Data Relay Satellite, TDRS-C) ",USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,84.41,35693,35878,2.19E-03,11.53,1436.06,3180,9/29/1988,1988,10,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 26)
"TDRS-5 (Tracking and Data Relay Satellite, TDRS-E)",USA,USA,SES S.A.,Government/Commercial,Communications,GEO,-167.14,35773,35796,2.73E-04,9.4,1436.99,3180,8/2/1991,1991,10,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 43)
"TDRS-6 (Tracking and Data Relay Satellite, TDRS-F)",USA,USA,National Aeronautics and Space Administration (NASA)/SES Americom (SES [Société Européenne des Satellites (SES)]),Government/Commercial,Communications,GEO,-171.35,35773,35787,1.66E-04,8.74,1435.7,3180,1/13/1993,1993,10,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 54)
"TDRS-7 (Tracking and Data Relay Satellite, TDRS-G)",USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,-150.53,35767,35803,4.27E-04,10.6,1436.04,3180,7/13/1995,1995,10,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 70)
"TDRS-8 (Tracking and Data Relay Satellite, TDRS-H)",USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,88.76,35768,35808,4.74E-04,0.9,1436.2,3180,6/30/2000,2000,11,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2A
"TDRS-9 (Tracking and Data Relay Satellite, TDRS-I)",USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,-62.43,35768,35809,4.86E-04,0.02,1436.11,3180,3/8/2002,2002,11,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2A
TechDemoSat-1,United Kingdom,United Kingdom,Technology Strategy Board,Government,Technology Development,LEO,0,625,631,4.29E-04,98.4,97.27,150,7/8/2014,2014,,Surrey Satellite Technology Ltd. (SSTL),United Kingdom,Baikonur Cosmodrome,Soyuz-2.1b
Technosat,NR (10/17),Germany,Technical University Berlin,Civil,Technology Demonstration,LEO,0,586,605,1.36E-03,97.6,96.6,18,7/14/2017,2017,2,Technical University Berlin,Germany,Baikonur Cosmodrome,Soyuz 2.1a
"TecSAR (Ofeq 8, Polaris)",NR,Israel,Defense Ministry,Military,Earth Observation,LEO,0,405,580,1.28E-02,41.03,94.5,300,1/21/2008,2008,,Israel Aerospace Industries (IAI),Israel,Satish Dhawan Space Centre,PSLV C10
TeLEOS 1,NR,Singapore,AgilSpace,Commercial,Earth Observation,LEO,0,535,550,1.08E-03,15,95.5,400,12/16/2015,2015,5,ST Electronics Ltd.,Singapore,Satish Dhawan Space Centre,PSLV C29
Telkom 2,Indonesia,Indonesia,PT Telkomunikasi,Commercial,Communications,GEO,118.02,35781,35793,1.42E-04,0.04,1436.1,1930,11/16/2005,2005,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA
Telkom 3S,NR (9/17),Indonesia,PT Telkomunikasi,Commercial,Communications,GEO,117.97,35780,35795,1.78E-04,0,1436.1,3550,2/14/2017,2017,18,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5 ECA
Telstar 11N,NR,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,-37.05,35774,35801,3.20E-04,0.04,1436.13,4010,2/26/2009,2009,15,Space Systems/Loral,USA,Sea Launch Odyssey,Zenit 3SLB
Telstar 12 (Orion 2),USA,Multinational,Eutelsat -- leased from Loral Skynet Satellite Services (Loral Global Alliance) ,Commercial,Communications,GEO,-14.99,35773,35799,3.08E-04,0.05,1436.09,3878,10/19/1999,1999,13,Space Systems/Loral,USA,Guiana Space Center,Ariane 44LP
Telstar 12V (Telstar 12 Vantage),NR,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,-15,35645,35727,9.75E-04,0.1,1436.1,4900,11/24/2015,2015,15,Airbus Defense and Space,France/UK/Germany/Spain,Tanegashima Space Center,H2A
Telstar 14R (Estrela do Sul 2),Brazil,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,-63,35783,35791,9.49E-05,0.02,1436.1,4970,5/20/2011,2011,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton
Telstar 18 (Apstar 5),NR,Multinational,Loral Skynet Satellite Services (Loral Global Alliance)/APT Satellite Holdings Ltd.,Commercial,Communications,GEO,138.04,35778,35795,2.02E-04,0.01,1436.1,4640,6/29/2004,2004,13,Space Systems/Loral,USA,Sea Launch Odyssey,Zenit 3SL
TerraSAR-X 1 (Terra Synthetic Aperture Radar X-Band),Germany,Germany,German Aerospace Center (DLR)/Infoterra,Government/Commercial,Earth Observation,LEO,0,507,509,1.45E-04,97.5,94.8,1230,6/15/2007,2007,5,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Dnepr
TerraStar 1,USA,USA,TerraStar Corporation,Commercial,Communications,GEO,-111,35783,35791,9.49E-05,5.94,1436.11,6910,7/1/2009,2009,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA
TESS (Transiting Exoplanet Survey Satellite),NR (5/18),USA,National Aeronautics  and Space Administration (NASA),Government,Space Science,LEO,0,258,268488,9.53E-01,29.6,"8,758",362,4/18/2018,2018,20,NASA/MIT,USA,Cape Canaveral,Falcon 9
"TET-1 (Technologieerprobungsträger 1, Technology Experiment Carrier)",Germany,Germany,German Aerospace Center (DLR),Commercial,Technology Development,LEO,0,501,505,2.91E-04,97.5,94.7,120,7/22/2012,2012,1,Kayser-Threde GmbH,Germany,Baikonur Cosmodrome,Soyuz-Fregat
"Thaicom-4 (Ipstar 1, Measat 5)",NR,Thailand,Thaicom Public Company Ltd. ,Commercial,Communications,GEO,119.5,35775,35798,2.73E-04,0,1436.1,6505,8/11/2005,2005,12,Space Systems/Loral,USA,Guiana Space Center,Ariane 5G
Thaicom-5,NR,Thailand,Thaicom Public Company Ltd. ,Commercial,Communications,GEO,78.54,35777,35796,2.25E-04,0.04,1436.1,2800,5/27/2006,2006,12,Alcatel Alenia Space,France,Guiana Space Center,Ariane 5 ECA
Thaicom-6,NR,Thailand,Thaicom Public Company Ltd. ,Commercial,Communications,GEO,78.5,35786,35796,1.19E-04,0.05,1436.3,3325,1/6/2014,2014,15,Orbital Sciences Corp.,USA,Cape Canaveral,Falcon 9
Thaicom-8,NR (12/16),Thailand,Thaicom Public Company Ltd. ,Commercial,Communications,GEO,78.5,35843,35890,5.56E-04,0.03,1440.09,3025,5/27/2016,2016,15,Orbital ATK,USA,Cape Canaveral,Falcon 9
THEMIS A (Time History of Events and Macroscale Interactions during Substorms) ,USA,Multinational,"National Aeronautics and Space Administration (NASA)/University of California, Berkeley (in partnership with Germany, France, Austria, Canada)",Government/Civil,Space Science,Elliptical,0,461,87304,8.64E-01,15.7,1868.98,126,2/17/2007,2007,2,Swales Aerospace,USA,Cape Canaveral,Delta 2
THEMIS D (Time History of Events and Macroscale Interactions during Substorms) ,USA,Multinational,"National Aeronautics and Space Administration (NASA)/University of California, Berkeley (in partnership with Germany, France, Austria, Canada)",Government/Civil,Space Science,Elliptical,0,467,87260,8.64E-01,15.7,1867.91,126,2/17/2007,2007,2,Swales Aerospace,USA,Cape Canaveral,Delta 2
THEMIS E (Time History of Events and Macroscale Interactions during Substorms) ,USA,Multinational,"National Aeronautics and Space Administration (NASA)/University of California, Berkeley (in partnership with Germany, France, Austria, Canada)",Government/Civil,Space Science,Elliptical,0,474,87526,8.64E-01,15.7,1875.53,126,2/17/2007,2007,2,Swales Aerospace,USA,Cape Canaveral,Delta 2
THEOS (Thailand Earth Observation System),Thailand,Thailand,Geo-Informatics and Space Technology Development Agency (GISTDA),Government,Earth Observation,LEO,0,824,826,1.39E-04,98.7,101.4,750,10/1/2008,2008,5,EADS Astrium,France,Dombarovsky Air Base,Dnepr
Thor-3 ,Norway,Norway,Telenor Satellite Broadcasting,Commercial,Communications,GEO,-4,35777,35795,2.13E-04,0.07,1436.07,1400,6/10/1998,1998,12,Boeing Satellite Systems,USA,Cape Canaveral,Delta 2
Thor-5 (Thor 2R),Norway,Norway,Telenor Satellite Broadcasting,Commercial,Communications,GEO,-0.72,35773,35798,2.97E-04,0.01,1436.1,2024,2/11/2008,2008,15,Orbital Sciences Corp.,USA,Baikonur Cosmodrome,Proton M
Thor-6,Norway,Norway,Telenor Satellite Broadcasting,Commercial,Communications,GEO,-1,35779,35794,1.78E-04,0.02,1436.1,3050,10/29/2009,2009,15,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5
Thor-7,Norway,Norway,Telenor Satellite Broadcasting,Commercial,Communications,GEO,-1,35727,35741,1.66E-04,0,1433.4,4600,4/26/2015,2015,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5
Thuraya 2 ,United Arab Emirates,United Arab Emirates,Thuraya Satellite Communications,Commercial,Communications,GEO,44.13,35764,35807,5.10E-04,2.99,1436.07,5250,6/10/2003,2003,12,Hughes Space and Communications Co.,USA,Sea Launch Odyssey,Zenit 3SL
Thuraya 3,United Arab Emirates,United Arab Emirates,Thuraya Satellite Communications,Commercial,Communications,GEO,98.6,35766,35807,4.86E-04,5.84,1436.1,5180,1/15/2008,2008,12,Boeing Satellite Systems,USA,Sea Launch Odyssey,Zenit 3SL
Tianhui 1-01,China,China,China Aerospace Science and Technology Corp. (CASC),Government,Earth Observation,LEO,0,488,504,1.17E-03,97.4,94.5,2500,8/24/2010,2010,,DFH Satellite Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D
Tianhui 1-02,China,China,China Aerospace Science and Technology Corp. (CASC),Government,Earth Observation,LEO,0,485,505,1.46E-03,97.4,94.5,2500,5/6/2012,2012,,DFH Satellite Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D
Tianhui 1-03,NR,China,China Aerospace Science and Technology Corp. (CASC),Government,Earth Observation,LEO,0,489,500,8.01E-04,97.36,94.5,2500,10/26/2015,2015,,DFH Satellite Co. Ltd. ,China,Jiuquan Satellite Launch Center,Long March 2D
Tiankun-1,NR (9/17),China,Chinese Academy of Launch Vehicle Technology (CASIC),Government,Earth Observation/Technology Development,LEO,0,384,406,1.63E-03,96.9,92.4,,3/2/2017,2017,,China Academy of Launch Vehicle Technology (CASIC),China,Jiuquan Satellite Launch Center,KT-2
"TianLian 1 (TL-1-01, CTDRS)",China,China,China Aerospace Science and Technology Corp. (CASC),Government,Communications,GEO,77.08,35769,35813,5.22E-04,0.06,1436.08,3750,4/25/2008,2008,,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3C
"TianLian 2 (TL-1-02, CTDRS)",China,China,China Aerospace Science and Technology Corp. (CASC),Government,Communications,GEO,176.72,37778,37794,1.81E-04,1,1436.1,2250,7/11/2011,2011,,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3C
"TianLian 3 (TL-1-03, CTDRS)",China,China,China Aerospace Science and Technology Corp. (CASC),Government,Communications,GEO,16.86,35768,35802,4.03E-04,2.04,1436,2200,7/25/2012,2012,,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3C
"TianLian 4 (TL-1-04, CTDRS)",NR (12/16),China,China Aerospace Science and Technology Corp. (CASC),Government,Communications,GEO,76.95,35778,35793,1.78E-04,3.06,1436.1,2200,11/22/2016,2016,,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3C
Tiantong-1-01,NR (11/16),China,China Telecom,Government,Communications,GEO,101.43,35765,35805,4.74E-04,4.89,1436.05,,8/5/2016,2016,,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B
Tiantuo-2,NR,China,National University of Defense Technology,Government,Earth Observation/Communications,LEO,0,477,493,1.17E-03,97.42,94.31,67,9/8/2014,2014,,National University of Defense Technology,China,Taiyuan Launch Center,Long March 4B
Tiantuo-3 (Luliang 1),NR,China,National University of Defense Technology,Government,Technology Development,LEO,0,392,522,9.52E-03,97.42,93.73,20,9/19/2015,2015,,National University of Defense Technology,China,Taiyuan Launch Center,Long March 6
"Tianwang 1A (TW-1A, SECM-1, Shangkeda-2)",NR,China,Shanghai Engineering Center for Microsatellites,Civil,Technology Development,LEO,0,466,484,1.31E-03,97.31,94.1,3,9/24/2015,2015,,Nanjing University of Aeronautics and Astronautics/Shanghai Engineering Center for Microsatellites,China,Jiuquan Satellite Launch Center,Long March 11
Tianwang 1C (TW-1C; NJFA-1),NR,China,Nanjing University of Aeronautics and Astronautics,Civil,Technology Development,LEO,0,466,486,1.46E-03,97.31,94.12,5,9/24/2015,2015,,Nanjing University of Aeronautics and Astronautics/Shanghai Engineering Center for Microsatellites,China,Jiuquan Satellite Launch Center,Long March 11
TianYi-2 (Xiaoxiang 2),NR (5/18),China,Spacety Aerospace Co./Changsha Gaoxinqu Tianyi Research Institute,Commercial,Technology Development,LEO,0,527,547,1.45E-03,97.5,95.3,8,1/18/2018,2018,,Spacety Aerospace Co.,China,Jiuquan Satellite Launch Center,Long March 11
TianYi-6 (Quantutong 1),NR (5/18),China,Spacety Aerospace Co./Changsha Gaoxinqu Tianyi Research Institute,Commercial,Technology Development,LEO,0,528,545,1.23E-03,97.5,95.3,8,1/18/2018,2018,,Spacety Aerospace Co.,China,Jiuquan Satellite Launch Center,Long March 11
TIGRISat,Iraq,Iraq,La Sapienza University of Rome,Civil,Earth Observation,LEO,0,611,698,6.19E-03,97.98,97.82,1,6/19/2014,2014,,La Sapienza University of Rome,Italy,Dombarovsky Air Base,Dnepr
TIMED (Thermosphere • Ionosphere • Mesosphere • Energetics and Dynamics),USA,USA,"National Aeronautics and Space Administration (NASA)/Applied Physics Laboratory, Johns Hopkins",Government/Civil,Space Science,LEO,0,612,613,7.16E-05,74.1,97,587,12/7/2001,2001,2,"Applied Physics Laboratory, Johns Hopkins",USA,Vandenberg AFB,Delta 2
TJS-1 (Tongxin Jishu Shiyan 1),NR,China,China Academy of Space Technology (CAST),Government,Technology Development,GEO,155.07,35776,35795,2.25E-04,0,1436.03,,9/12/2015,2015,,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B
TJS-2 (Tongxin Jishu Shiyan 2),NR (8/17),China,China Academy of Space Technology (CAST),Government,Technology Development,GEO,107.42,35783,35793,1.19E-04,0.5,1436.19,,1/5/2017,2017,,Shanghai Academy of Spaceflight Technology,China,Xichang Satellite Launch Center,Long March 3B
TKSat-1 (Túpac Katari Satellite 1),Bolivia,Bolivia,Bolivia Aerospace Bureau,Government,Communications,GEO,-87.2,35773,35799,3.08E-04,0.27,1436.07,5000,12/20/2013,2013,,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B
TNS-0-2 Nanosputnik,NR (10/17),Russia,Russian Space Systems,Government,Technology Development,LEO,0,398,407,6.64E-04,51.6,92.6,5,8/17/2017,2017,,Russian Space Systems,Russia,International Space Station,Manual Deployment
Toki (Bird JJ),NR (10/17),Japan,Kyushu Institute of Technology (KIT),Civil,Communications/Technology Development,LEO,0,402,402,0.00E+00,51.6,92.6,2,7/7/2017,2017,,Kyushu Technical University,Japan,International Space Station,Nanorack Deployer
Tomsk-TPU-120,NR (10/17),Russia,Tomsk Polytechnic University,Civil,Communications/Technology Development,LEO,0,397,408,8.12E-04,51.6,92.6,5,8/17/2017,2017,,Tomsk Polytechnic University,Russia,International Space Station,Manual Deployment
TRICOM-1R (Tasuki),NR (5/18),Japan,University of Tokyo,Civil,Communications/Earth Observation,LEO,0,187,2008,1.22E-01,31,107,3,2/3/2018,2018,,University of Tokyo,Japan,Uchinoura Space Center,SS-520-5
"Trumpet 3 (NROL-4, National Reconnaissance Office Launch-4, USA 136)",USA,USA,National Reconnaissance Office (NRO)/US Air Force,Military,Earth Observation,Elliptical,0,1210,38740,7.12E-01,64.7,709.61,8000,11/8/1997,1997,,Boeing Satellite Systems,USA,Cape Canaveral,Titan IVA
Tselina-2 (Cosmos 2428),Russia,Russia,Ministry of Defense,Military,Earth Observation,LEO,0,844,858,9.69E-04,71,102,3200,6/29/2007,2007,,KB Yuznoye,Ukraine,Baikonur Cosmodrome,Zenit 2M
TSUBAME,NR,Japan,"Tokyo Institute of Technology, Tokyo University of Science and JAXA",Civil,Earth Observation,LEO,0,505,569,4.63E-03,97.47,95.38,49,11/6/2014,2014,,"Tokyo Institute of Technology, Tokyo University of Science and JAXA",Japan,Dombarovsky Air Base,Dnepr
"TUGSat-1  (Technische Universität Graz Satellit, CanX-3b, BRITE-Austria)",Austria,Austria,Technical University of Graz,Civil,Technology Development,LEO,0,770,784,9.79E-04,98.6,100.3,14,2/25/2013,2013,,University of Toronto Institute for Aerospace Studies (UTIAS),Canada,Satish Dhawan Space Centre,PSLV
Turkmen Alem 52E/MonacoSAT,NR,Turkmenistan/Monaco,Turkmenistan Ministry of Communications/SSI-Monaco,Government/Commercial,Communications,GEO,52,35655,35784,1.53E-03,0,1432.69,4700,4/27/2015,2015,15,Thales Alenia Space,France/Italy,Cape Canaveral,Falcon 9
Turksat 3A,Turkey,Turkey,Turksat,Commercial,Communications,GEO,42.04,35778,35793,1.78E-04,0.01,1436.06,3100,6/12/2008,2008,,Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA
Turksat 4A,NR,Turkey,Turksat,Commercial,Communications,GEO,50,35776,35797,2.49E-04,0.01,1436.08,4869,2/14/2014,2014,15,Mitsubishi Electric ,Japan,Baikonur Cosmodrome,Proton
Turksat 4B,NR,Turkey,Turksat,Commercial,Communications,GEO,50,35787,35805,2.13E-04,0.03,1436.57,5000,10/16/2015,2015,15,Mitsubishi Electric ,Japan,Baikonur Cosmodrome,Proton
Tyvak-53b,NR (10/17),USA,"Tyvak Nanosatellite Systems, Inc.",Commercial,Technology Demonstration,LEO,0,497,516,1.38E-03,97.45,94.7,5,6/23/2017,2017,,"Tyvak Nanosatellite Systems, Inc.",USA,Satish Dhawan Space Centre,PSLV
Tyvak-61c,NR (5/18),USA,"Tyvak Nanosatellite Systems, Inc.",Commercial,Technology Demonstration,LEO,0,493,504,8.01E-04,97.5,94.5,10,1/11/2018,2018,,"Tyvak Nanosatellite Systems, Inc.",USA,Satish Dhawan Space Centre,PSLV
"UCLSat (University College London Satellite, QB50 GB03) ",NR (10/17),United Kingdom,University College London,Civil,Technology Development/Educational,LEO,0,496,513,1.24E-03,97.45,94.7,3,6/22/2017,2017,2,University College London,United Kingdom,Satish Dhawan Space Centre,PSLV
"UFO-10 (USA 146, UHF F/O F10) ""UHF Follow-On""",USA,USA,US Navy,Military,Communications,GEO,72.67,35738,35834,1.14E-03,1.97,1436.1,3200,11/24/1999,1999,4,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2
"UFO-11  (USA 174) ""UHF Follow-On""",USA,USA,US Navy,Military,Communications,GEO,71.44,35786,35787,1.19E-05,2.16,1436.1,3200,12/18/2003,2003,4,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 3
"UFO-2 (USA 95) ""UHF Follow-On""",USA,USA,US Navy,Military,Communications,GEO,28.79,35766,35807,4.86E-04,8.27,1436.12,3200,9/3/1993,1993,,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2
"UFO-4 (USA 108, UFO F4 EHF) ""UHF Follow-On""",USA,USA,US Navy,Military,Communications,GEO,-177.12,35763,35775,1.42E-04,3.34,1435.22,3200,1/29/1995,1995,4,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2
"UFO-6 (USA 114, UFO F6 EHF) ""UHF Follow-On""",USA,USA,US Navy,Military,Communications,GEO,-105.5,35744,35829,1.01E-03,4.11,1436.12,3200,10/22/1995,1995,4,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2
"UFO-7 (USA 127, F7 EHF) ""UHF Follow-On""",USA,USA,US Navy,Military,Communications,GEO,-21.91,35738,35835,1.15E-03,3.79,1436.11,3200,7/25/1996,1996,4,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2
"UFO-8 (USA 138, UHF F/O F8) ""UHF Follow-On""",USA,USA,US Navy,Military,Communications,GEO,172.28,35772,35794,2.61E-04,5.24,1435.94,3206,3/16/1998,1998,4,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2
"UK-DMC-2 (BNSCSat-2, British National Science Center Satellite 2)",United Kingdom,United Kingdom,UK/DMC International Imaging (DMCII),Government,Earth Observation,LEO,0,660,662,1.42E-04,98,98,97,7/29/2009,2009,5,Surrey Satellite Technology Ltd. (SSTL),United Kingdom,Baikonur Cosmodrome,Dnepr
UKube-1 (UK Cubesat 1),United Kingdom,United Kingdom,UK Space Agency,Government,Technology Development,LEO,0,626,631,3.57E-04,98.4,97.27,3,7/8/2014,2014,,Clyde Space,United Kingdom,Baikonur Cosmodrome,Soyuz-2.1b
UNIFORM 1  (UNiversity International FORmation Mission 1),Japan,Japan,Wakayama University (UNIFORM consortium),Civil,Earth Observation,LEO,0,622,629,5.00E-04,97.87,97.2,50,5/24/2014,2014,,Wakayama University and other Japanese universities,Japan,Tanegashima Space Center,H2A
UNSW-ECO (QB50 - AU02),NR (10/17),Australia,University of New South Wales,Civil,Earth Science,LEO,0,397,408,8.12E-04,51.6,92.6,3,5/25/2017,2017,,University of New South Wales,Australia,International Space Station,Nanorack Deployer
"Ursa Maior ((University of Rome la SApienza MicroAttitude In ORbit testing, QB50 IT02)",NR (10/17),Italy,University of Rome,Civil,Earth Science,LEO,0,496,512,1.16E-03,97.45,94.7,5,6/23/2017,2017,,University of Rome - La Sapienza,Italy,Satish Dhawan Space Centre,PSLV
UWE-3 (University of Würzburg Experimental Satellite 3),Germany,Germany,University of Würzburg,Civil,Communications,LEO,0,593,700,7.62E-03,97.8,97.6,1,11/21/2013,2013,,University of Würzburg,Germany,Dombarovsky Air Base,Dnepr
"Van Allen Probe A (RBSP-A, Radiation Belt Storm Probes)",USA,USA,National Aeronautics and Space Administration (NASA)/Johns Hopkins University Applied Physics Laboratory,Government,Earth Observation,Elliptical,0,591,30534,6.83E-01,10.03,539.06,648,8/30/2012,2012,,Johns Hopkins University Applied Physics Laboratory,USA,Cape Canaveral,Atlas 5
"Van Allen Probe B (RBSP-B, Radiation Belt Storm Probes)",USA,USA,National Aeronautics and Space Administration (NASA)/Johns Hopkins University Applied Physics Laboratory,Government,Earth Observation,Elliptical,0,595,30657,6.83E-01,10.04,541.4,666,8/30/2012,2012,,Johns Hopkins University Applied Physics Laboratory,USA,Cape Canaveral,Atlas 5
Velox 1,NR,Singapore,Nanyang Technological University,Civil,Technology Development,LEO,0,642,655,9.26E-04,98.25,97.7,4,6/30/2014,2014,,Nanyang Technological University,Singapore,Satish Dhawan Space Centre,PSLV-CA
Velox 2,NR,Singapore,Nanyang Technological University,Civil,Technology Development,LEO,0,537,550,9.40E-04,14.98,95.48,13,12/16/2015,2015,,Nanyang Technological University,Singapore,Satish Dhawan Space Centre,PSLV-C29
Velox C1,NR,Singapore,Nanyang Technological University,Civil,Technology Development,LEO,0,533,550,1.23E-03,14.98,95.48,123,12/16/2015,2015,,Nanyang Technological University,Singapore,Satish Dhawan Space Centre,PSLV-C29
Venµs,NR (10/17),France/Israel,Centre National d'Etudes Spatiales (CNES)/Israel Space Agency,Government,Earth Observation,LEO,0,719,724,3.53E-04,98.3,99.2,264,8/1/2017,2017,4.5,Israel Aerospace Industries (IAI),Israel,Guiana Space Center,Vega
VeneSat 1 (Simon Bolivar),Venezuela/China,Venezuela,Ministry of Science and Technology,Government,Communications,GEO,-65,35777,35796,2.25E-04,0.21,1436.1,5100,10/29/2008,2008,15,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,CZ-3B
Venta-1,NR (10/17),Latvia,Ventspils University College,Civil,Technology Development,LEO,0,496,508,8.73E-04,97.45,94.7,5,6/23/2017,2017,,Ventspils High Technology Park/Bremen University of Applied Sciences/OHB Systems,Latvia/Germany,Satish Dhawan Space Centre,PSLV
ViaSat-1,USA,USA,"ViaSat, Inc.",Commercial,Communications,GEO,-115,35775,35796,2.49E-04,0.04,1436.09,6740,10/19/2011,2011,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M
ViaSat-2,NR (10/17),USA,"ViaSat, Inc.",Commercial,Communications,GEO,-69.9,25371,46183,2.47E-01,44.6,1435.6,6418,6/1/2017,2017,14,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5
Vinasat 1,NR,Vietnam,Vietnamese Posts and Telecommunications Group (VNPT),Government,Communications,GEO,131.97,35782,35791,1.07E-04,0.02,1436.1,2600,4/18/2008,2008,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA
Vinasat 2,NR,Vietnam,Vietnamese Posts and Telecommunications Group (VNPT),Government,Communications,GEO,131.8,35742,35776,4.04E-04,0.08,1434.69,2970,5/15/2012,2012,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA
VNREDSat 1A  (Vietnam Natural Resources Environment and Disaster monitoring small Satellite),NR,Vietnam,Space Technology Institute-Vietnam Academy of Science and Technology (STI-VAST),Government,Earth Observation,LEO,0,682,685,2.13E-04,98.13,98.43,115,5/7/2013,2013,5,EADS Astrium,France,Guiana Space Center,Vega
